IČO;Název;Okres
00262587;Město Tanvald;Jablonec nad Nisou
00286745;Město Telč;Jihlava
00255050;Město Teplá;Cheb
00273139;Město Teplice nad Metují;Náchod
00264474;Město Terezín;Litoměřice
00282707;Město Tišnov;Brno - venkov
00255076;Město Toužim;Karlovy Vary
00302082;Město Tovačov;Přerov
00245551;Město Trhové Sviny;České Budějovice
00232874;Město Trhový Štěpánov;Benešov
00674010;Město Trmice;Ústí nad Labem
00278360;Město Trutnov;Trutnov
00269719;Město Třebechovice pod Orebem;Hradec Králové
00264521;Město Třebenice;Litoměřice
00290629;Město Třebíč;Třebíč
00247618;Město Třeboň;Jindřichův Hradec
00258415;Město Třemošná;Plzeň - sever
00271071;Město Třemošnice;Chrudim
00286753;Město Třešť;Jihlava
00276227;Město Turnov;Semily
00235831;Město Týnec nad Labem;Kolín
00232904;Město Týnec nad Sázavou;Benešov
00275468;Město Týniště nad Orlicí;Rychnov nad Kněžnou
00245585;Město Týn nad Vltavou;České Budějovice
00291471;Město Uherské Hradiště;Uherské Hradiště
00291463;Město Uherský Brod;Uherské Hradiště
00291480;Město Uherský Ostroh;Uherské Hradiště
00236527;Město Uhlířské Janovice;Kutná Hora
00282740;Město Újezd u Brna;Brno - venkov
00235075;Město Unhošť;Kladno
00299634;Město Uničov;Olomouc
00278386;Město Úpice;Trutnov
00303500;Město Úsov;Šumperk
00279676;Město Ústí nad Orlicí;Ústí nad Orlicí
00264571;Město Úštěk;Litoměřice
00258466;Město Úterý;Plzeň - sever
00240931;Město Úvaly;Praha - východ
00284611;Město Valašské Klobouky;Zlín
00304387;Město Valašské Meziříčí;Vsetín
00283665;Město Valtice;Břeclav
00275492;Město Vamberk;Rychnov nad Kněžnou
00261718;Město Varnsdorf;Děčín
00262170;Město Vejprty;Chomutov
00246174;Město Velešín;Český Krumlov
00295647;Město Velká Bíteš;Žďár nad Sázavou
00299651;Město Velká Bystřice;Olomouc
00283673;Město Velké Bílovice;Břeclav
00262595;Město Velké Hamry;Jablonec nad Nisou
00295671;Město Velké Meziříčí;Žďár nad Sázavou
00281247;Město Velké Opatovice;Blansko
00283703;Město Velké Pavlovice;Břeclav
00261734;Město Velký Šenov;Děčín
00237272;Město Veltrusy;Mělník
00235105;Město Velvary;Kladno
00261742;Město Verneřice;Děčín
00253081;Město Veselí nad Lužnicí;Tábor
00285455;Město Veselí nad Moravou;Hodonín
00246182;Město Větřní;Český Krumlov
00282804;Město Veverská Bítýška;Brno - venkov
00303585;Město Vidnava;Jeseník
00250805;Město Vimperk;Prachatice
00300870;Město Vítkov;Opava
00284653;Město Vizovice;Zlín
00250821;Město Vlachovo Březí;Prachatice
00232947;Město Vlašim;Benešov
00251984;Město Vodňany;Strakonice
00250830;Město Volary;Prachatice
00252000;Město Volyně;Strakonice
00232963;Město Votice;Benešov
00285498;Město Vracov;Hodonín
00297372;Město Vratimov;Ostrava - město
00296457;Město Vrbno pod Pradědem;Bruntál
00278475;Město Vrchlabí;Trutnov
00265705;Město Vroutek;Louny
00304450;Město Vsetín;Vsetín
00258512;Město Všeruby;Plzeň - sever
00262251;Město Výsluní;Chomutov
00279773;Město Vysoké Mýto;Ústí nad Orlicí
00276294;Město Vysoké nad Jizerou;Semily
00272418;Město Vysoké Veselí;Jičín
00292427;Město Vyškov;Vyškov
00246191;Město Vyšší Brod;Český Krumlov
00303640;Město Zábřeh;Šumperk
00261114;Město Zákupy;Česká Lípa
00235954;Město Zásmuky;Kolín
00259225;Město Zbiroh;Rokycany
00282928;Město Zbýšov;Brno - venkov
00234061;Město Zdice;Beroun
00296481;Město Zlaté Hory;Jeseník
00245721;Město Zliv;České Budějovice
00293881;Město Znojmo;Znojmo
00236667;Město Zruč nad Sázavou;Kutná Hora
00304492;Město Zubří;Vsetín
00278491;Město Žacléř;Trutnov
00279846;Město Žamberk;Ústí nad Orlicí
00261131;Město Žandov;Česká Lípa
00265781;Město Žatec;Louny
00285536;Město Ždánice;Hodonín
00295841;Město Žďár nad Sázavou;Žďár nad Sázavou
00268542;Město Ždírec nad Doubravou;Havlíčkův Brod
00234079;Město Žebrák;Beroun
00256358;Město Železná Ruda;Klatovy
00272426;Město Železnice;Jičín
00262633;Město Železný Brod;Jablonec nad Nisou
00282979;Město Židlochovice;Brno - venkov
00249505;Město Žirovnice;Pelhřimov
00255181;Město Žlutice;Karlovy Vary
00303682;Město Žulová;Jeseník
00285595;Městys Batelov;Jihlava
00292478;Městys Běhařovice;Znojmo
00249530;Městys Bernartice;Písek
00245798;Městys Besednice;Český Krumlov
00237469;Městys Bezno;Mladá Boleslav
00235997;Městys Bílé Podolí;Kutná Hora
00292516;Městys Blížkovice;Znojmo
00293971;Městys Bobrová;Žďár nad Sázavou
00294004;Městys Bohdalov;Žďár nad Sázavou
00269867;Městys Bojanov;Chrudim
00283011;Městys Boleradice;Břeclav
00252107;Městys Borotín;Tábor
00247855;Městys Božejov;Pelhřimov
00291668;Městys Brankovice;Vyškov
00237540;Městys Brodce;Mladá Boleslav
00288063;Městys Brodek u Prostějova;Prostějov
00301078;Městys Brodek u Přerova;Přerov
00263397;Městys Brozany nad Ohří;Litoměřice
00237574;Městys Březno;Mladá Boleslav
00299880;Městys Březová;Opava
00289159;Městys Budišov;Třebíč
00290866;Městys Buchlovice;Uherské Hradiště
00235300;Městys Cerhenice;Kolín
00233196;Městys Cerhovice;Beroun
00556262;Městys Cítoliby;Louny
00255319;Městys Čachrov;Klatovy
00274780;Městys Častolovice;Rychnov nad Kněžnou
00231550;Městys Čechtice;Benešov
00280097;Městys Černá Hora;Blansko
00277720;Městys Černý Důl;Trutnov
00235326;Městys Červené Pečky;Kolín
00267279;Městys Česká Bělá;Havlíčkův Brod
00278661;Městys České Heřmanice;Ústí nad Orlicí
00231614;Městys Český Šternberk;Benešov
00251089;Městys Čestice;Strakonice
00289264;Městys Dalešice;Třebíč
00241156;Městys Davle;Praha - západ
00281697;Městys Deblín;Brno - venkov
00255394;Městys Dešenice;Klatovy
00231690;Městys Divišov;Benešov
00244791;Městys Dolní Bukovsko;České Budějovice
00285765;Městys Dolní Cerekev;Jihlava
00278734;Městys Dolní Čermná;Ústí nad Orlicí
00280143;Městys Doubravice nad Svitavou;Blansko
00294268;Městys Doubravník;Brno - venkov
00274909;Městys Doudleby nad Orlicí;Rychnov nad Kněžnou
00288209;Městys Drahany;Prostějov
00281727;Městys Drásov;Brno - venkov
00283142;Městys Drnholec;Břeclav
00301213;Městys Dřevohostice;Přerov
00250406;Městys Dub;Prachatice
00298867;Městys Dub nad Moravou;Olomouc
00292702;Městys Dyjákovice;Znojmo
00245861;Městys Frymburk;Český Krumlov
00267431;Městys Havlíčkova Borová;Havlíčkův Brod
00376833;Městys Heraltice;Třebíč
00260525;Městys Holany;Česká Lípa
00245909;Městys Hořice na Šumavě;Český Krumlov
00266311;Městys Hostomice;Teplice
00301329;Městys Hustopeče nad Bečvou;Přerov
00291811;Městys Hvězdlice;Vyškov
00246816;Městys Chlum u Třeboně;Jindřichův Hradec
00259861;Městys Chodová Planá;Tachov
00273643;Městys Choltice;Pardubice
00237914;Městys Chotětov;Mladá Boleslav
00277932;Městys Choustníkovo Hradiště;Trutnov
00270202;Městys Chroustovice;Chrudim
00255599;Městys Chudenice;Klatovy
00280283;Městys Jedovnice;Blansko
00294471;Městys Jimramov;Žďár nad Sázavou
00242381;Městys Jince;Příbram
00236144;Městys Kácov;Kutná Hora
00286079;Městys Kamenice;Jihlava
00233374;Městys Karlštejn;Beroun
00251305;Městys Katovice;Strakonice
00253472;Městys Klenčí pod Čerchovem;Domažlice
00243868;Městys Kněževes;Rakovník
00280330;Městys Knínice;Blansko
00255688;Městys Kolinec;Klatovy
00253481;Městys Koloveč;Domažlice
00233382;Městys Komárov;Beroun
00239305;Městys Kounice;Nymburk
00261947;Městys Kovářská;Chomutov
